score_difference,player_burst_prob,opponent_burst_prob,remaining_cards_num,round,player_life,opponent_life,draw_card
12,0.09,0.71,8,4,1,4,FALSE
15,0.35,0.4,3,6,5,4,TRUE
6,0.56,0.06,2,2,2,2,FALSE
12,0.67,0.59,8,6,3,3,TRUE
0,0.65,0.17,3,3,1,4,FALSE
5,0.4,0.45,2,2,5,3,FALSE
12,0.2,0.94,8,2,2,4,TRUE
2,0.16,0.05,7,7,4,4,TRUE
17,0.86,0.5,4,5,3,4,FALSE
14,0.77,0.13,1,3,3,4,FALSE
7,0.08,0.96,3,6,1,4,FALSE
5,0.91,0.93,1,6,2,5,FALSE
15,0.9,0.94,7,5,2,2,TRUE
9,0.97,0.05,5,4,3,2,TRUE
5,0.45,0.04,1,3,5,3,FALSE
17,0.44,0.59,8,7,5,3,FALSE
4,0.49,0.55,5,1,1,3,FALSE
18,0.08,0.62,3,7,2,2,FALSE
7,0.6,0.91,8,2,2,4,FALSE
4,0.2,0.5,5,7,4,3,FALSE
8,0.65,0.51,7,3,2,5,FALSE
14,0.83,0.68,5,3,2,2,FALSE
7,0.11,0.66,3,6,2,3,FALSE
14,0.2,0.24,6,3,3,4,TRUE
9,0.92,0.81,1,1,4,1,FALSE
2,0.5,0.29,6,3,3,4,TRUE
11,0.6,0.28,8,1,4,5,TRUE
10,0.89,0.84,3,3,3,2,FALSE
9,0.41,0.32,5,3,4,2,FALSE
12,0.15,0.18,6,4,4,2,TRUE
15,0.06,0.91,5,6,4,4,FALSE
4,0.16,0.6,4,1,1,2,TRUE
1,0.28,0.18,7,3,3,1,TRUE
6,0.6,0.21,8,4,2,2,FALSE
1,0.25,0.79,7,6,5,1,FALSE
11,0.88,0.18,5,7,3,1,FALSE
5,0.45,0.08,3,7,2,3,FALSE
12,0.6,0.24,8,2,1,1,TRUE
11,0.75,0.06,8,3,4,1,FALSE
6,0.3,0.2,2,3,1,2,FALSE
8,0.01,0.99,2,5,3,2,FALSE
1,0.87,0.18,1,2,2,2,FALSE
14,0.91,0.12,7,5,2,5,TRUE
15,0.61,0.75,8,4,4,2,TRUE
1,0.04,0.96,8,5,5,2,TRUE
13,0.64,0.51,2,2,4,2,FALSE
0,0.48,0.05,6,1,3,1,TRUE
7,0.84,0.81,5,2,4,2,TRUE
19,0.11,0.91,6,2,1,1,FALSE
0,0.5,0.73,7,7,4,1,FALSE
4,0.27,0.98,8,5,4,4,FALSE
6,0.39,0.95,4,2,3,2,FALSE
12,0.22,0.33,3,3,1,1,FALSE
2,0.02,0.98,8,2,4,5,TRUE
6,0.78,0.55,8,1,1,4,FALSE
16,0.31,0.27,8,7,1,3,TRUE
4,0.73,0.23,7,6,4,3,FALSE
5,0.17,0.24,1,7,2,2,FALSE
4,0.82,0.73,4,4,1,3,FALSE
5,0.45,0.23,4,7,5,1,TRUE
5,0.15,0.61,7,4,2,2,FALSE
4,0.72,0.05,5,3,3,4,TRUE
10,0.53,0.87,2,4,3,1,FALSE
11,0.64,0.77,3,5,4,4,FALSE
1,0.39,0.58,1,2,3,4,FALSE
0,0.18,0.71,4,3,4,2,FALSE
0,0.19,0.89,1,1,5,4,FALSE
4,0.55,0.25,6,1,3,5,FALSE
5,0.51,0.8,6,6,4,5,FALSE
4,0.13,0.2,5,4,4,1,TRUE
1,0.39,0.95,2,5,1,4,FALSE
1,0.6,0.27,6,2,5,1,TRUE
13,0.01,0.18,6,1,3,3,TRUE
6,0.44,0.66,8,2,4,4,TRUE
10,0.54,0.95,4,1,4,3,FALSE
0,0.5,0.06,7,3,3,1,TRUE
8,0.99,0.74,2,2,1,3,FALSE
1,0.39,0.95,4,7,1,5,TRUE
6,0.69,0.74,3,7,1,4,FALSE
7,0.48,0.92,2,4,1,3,FALSE
10,0.39,0.6,5,2,3,2,TRUE
2,0.78,0.5,3,1,5,3,FALSE
7,0.81,0.21,3,1,1,4,FALSE
11,0.63,0.22,1,7,1,3,FALSE
8,0.16,0.15,6,4,1,4,TRUE
3,0.16,0.8,6,7,5,4,FALSE
19,0.61,0.63,3,6,2,4,FALSE
5,0.94,0.01,2,2,3,5,FALSE
5,0.96,0.77,1,1,1,3,FALSE
2,0.85,0,1,4,4,3,FALSE
7,0.18,0.6,7,2,5,5,FALSE
10,0.12,0.34,3,7,1,2,TRUE
1,0.98,0.31,5,7,1,3,FALSE
11,0.86,1,1,7,1,3,FALSE
13,0.06,0.65,4,5,4,1,FALSE
9,0.19,0.05,3,2,1,4,FALSE
9,0.32,0.73,7,3,4,3,FALSE
1,0.23,0.01,2,2,1,2,FALSE
8,0.7,0.08,4,1,4,5,TRUE
12,0.27,0.92,2,6,3,4,FALSE
4,0.64,0.34,4,5,2,2,FALSE
2,0.59,0.06,8,7,5,1,TRUE
13,0.38,0.05,7,7,2,4,TRUE
5,0.38,0.23,1,1,2,2,FALSE
1,0.61,0.45,3,2,2,3,FALSE
11,0.99,0.14,5,1,4,1,FALSE
1,0.29,0.65,4,2,5,4,FALSE
13,0.48,0.89,5,6,2,4,TRUE
2,0.64,0.6,6,3,5,3,FALSE
7,0.8,0.36,7,4,4,5,FALSE
14,0.41,0.07,5,7,5,5,TRUE
11,0.82,0.25,8,2,3,1,TRUE
5,0.24,0.47,1,4,5,1,FALSE
14,0.55,0.01,5,3,3,5,TRUE
1,0.47,0.59,4,3,5,1,FALSE
5,0.29,0.11,4,5,5,5,TRUE
17,0.96,0.99,6,7,3,1,FALSE
13,0.05,0.05,6,1,1,3,TRUE
11,0.2,0.11,8,2,4,1,TRUE
8,0.88,0.16,1,7,5,3,FALSE
5,0.34,0.71,2,7,4,3,FALSE
3,0.46,0.36,4,7,3,5,FALSE
2,0.82,0.74,2,2,2,3,FALSE
14,0.18,0.43,2,1,4,5,FALSE
17,0.85,0.48,3,5,1,5,FALSE
11,0.24,0.78,7,4,3,1,FALSE
14,0.33,0.62,8,4,4,4,FALSE
7,0.96,0.46,1,7,5,1,FALSE
1,0.74,0.72,6,1,3,1,TRUE
18,0.21,0.65,4,2,3,5,TRUE
12,0.98,0.58,7,5,4,3,FALSE
2,0.2,0.4,2,6,1,1,FALSE
14,0.56,0.09,4,5,4,1,TRUE
9,0.84,0.46,4,4,2,1,FALSE
17,0.46,0.64,1,2,1,4,FALSE
3,0.58,0.72,3,4,4,3,FALSE
8,0.95,0.35,7,6,3,1,FALSE
1,0.78,0.63,6,7,4,2,FALSE
17,0.99,0.76,1,1,1,4,FALSE
11,0.66,0.17,7,3,5,3,TRUE
3,0.35,0.99,3,5,4,5,TRUE
7,0.05,0.37,5,1,2,3,FALSE
18,0.93,0.05,3,6,5,3,FALSE
7,0.49,0.17,7,4,4,3,TRUE
7,0.88,0.25,5,1,3,1,FALSE
8,0.56,0.15,3,4,4,2,FALSE
16,0.28,0.45,7,2,1,2,FALSE
11,0.82,0.01,6,2,2,3,FALSE
2,0.56,0.53,8,4,4,2,FALSE
9,0.04,0.79,4,4,4,1,TRUE
4,0.48,0.86,1,6,2,2,FALSE
1,0.98,0.49,4,2,2,1,FALSE
7,0.02,0.22,4,6,1,4,TRUE
4,0.26,0.42,1,3,4,3,FALSE
8,0.16,0.71,4,1,2,5,FALSE
18,0.71,0.31,7,3,5,3,FALSE
5,0.77,0.51,1,3,4,5,FALSE
7,0.27,0.57,4,1,3,5,FALSE
8,0.14,0.66,8,2,4,5,TRUE
7,0.94,0.77,8,5,4,4,FALSE
9,0.01,0.93,1,6,2,4,FALSE
20,0.04,0.37,4,6,4,3,FALSE
3,0.03,0.06,3,4,2,1,FALSE
1,0.61,0.77,8,6,1,1,FALSE
7,0.7,0.63,3,7,5,2,FALSE
18,0.59,0.37,1,7,1,4,FALSE
2,0.13,0.38,6,4,4,3,TRUE
8,0.37,0.33,3,2,1,4,FALSE
13,0.49,0.65,6,3,2,3,FALSE
3,0.99,0.58,3,6,5,3,FALSE
11,0.77,0.04,8,7,5,2,TRUE
7,0.97,0.16,2,1,1,3,FALSE
6,0.76,0.81,5,3,5,4,FALSE
13,0.09,0.28,5,4,2,3,TRUE
4,0.5,0.05,1,7,1,3,FALSE
7,0.28,0.46,7,1,2,1,FALSE
15,0.03,0.32,3,7,2,5,FALSE
4,0.55,0.3,3,7,5,1,FALSE
17,0.78,0.65,2,4,4,5,FALSE
10,0.19,0.01,1,4,4,5,FALSE
7,0.31,0.45,7,7,4,3,FALSE
4,0.12,0.18,1,6,5,4,FALSE
12,0.54,0.84,3,2,1,2,FALSE
2,0.3,0.57,5,3,1,3,FALSE
13,0.28,0.05,8,6,1,2,TRUE
3,0.86,0.88,8,1,1,2,FALSE
6,0.8,0.68,8,6,3,4,FALSE
7,0.29,0.74,7,4,4,4,TRUE
9,0.58,0.93,6,2,3,4,FALSE
2,0.1,0.31,1,6,3,1,FALSE
16,0.8,0.57,3,7,3,5,FALSE
5,0.61,0.38,7,3,1,1,FALSE
12,0.42,0.36,8,3,4,4,TRUE
4,0.88,0.16,7,5,3,3,TRUE
0,0.4,0.83,1,6,4,2,FALSE
2,0.41,0.64,2,6,2,1,FALSE
3,0.14,0.9,8,5,3,4,FALSE
10,0.79,0.26,2,6,5,3,FALSE
10,0.27,0.01,2,6,3,4,FALSE
2,0.95,0.93,7,4,3,3,FALSE
4,0.21,0.27,7,6,3,4,TRUE
2,0.91,0.49,2,5,5,2,FALSE
12,0.57,0.02,2,7,3,4,FALSE
7,0.99,0.04,7,1,1,2,TRUE
5,0.15,0.62,5,3,4,1,FALSE
8,0.26,0.13,1,6,1,5,FALSE
1,0.11,0.41,8,2,3,1,FALSE
7,0.72,0.02,4,6,4,2,TRUE
3,0.15,0.69,1,3,1,3,FALSE
9,0.21,0.25,7,3,2,5,TRUE
3,0.96,0.51,6,6,5,4,FALSE
4,0.85,0.55,2,6,5,5,FALSE
7,0.06,0.4,8,1,5,3,FALSE
18,0.28,0.96,3,1,2,5,FALSE
1,0.04,0.69,1,3,5,5,FALSE
12,0.61,0.69,3,7,3,5,TRUE
5,0.19,0.13,6,2,2,5,TRUE
9,0.66,0.93,4,3,2,1,FALSE
18,0.01,0.02,7,6,2,2,TRUE
2,0.86,0.68,5,2,3,3,FALSE
11,0.96,0.29,7,2,2,4,TRUE
3,0.38,0.05,2,7,5,3,FALSE
17,0.64,0.92,1,1,4,1,FALSE
1,0.32,0.49,7,4,1,5,FALSE
1,0.34,0.71,2,1,3,5,FALSE
6,0.75,0.64,3,2,5,5,FALSE
10,0.79,0.21,3,4,5,1,FALSE
11,0.02,0.75,8,2,4,3,FALSE
8,0.72,0.03,6,6,1,5,TRUE
8,0.04,0.75,1,5,4,2,FALSE
2,0.36,0.29,5,7,4,3,TRUE
2,0.51,0.54,5,6,4,3,FALSE
4,0.01,0.33,8,3,2,4,TRUE
2,0.28,0.09,8,6,5,4,TRUE
1,0.35,0.91,3,4,4,5,FALSE
13,0.45,0.7,1,6,3,4,FALSE
16,0.29,0.31,4,6,4,5,FALSE
2,0.67,0.79,5,4,2,3,TRUE
15,0.69,0.72,4,5,4,5,FALSE
2,0.88,0.18,2,1,3,2,FALSE
2,0.41,0.19,2,7,2,1,TRUE
12,0.23,0.43,2,7,4,4,FALSE
1,0.43,0.43,3,6,4,4,FALSE
5,0.98,0.5,2,1,1,3,FALSE
12,0.08,0.3,1,4,4,2,FALSE
1,0.03,0.65,4,4,4,5,TRUE
10,0.64,0.01,8,5,2,4,TRUE
5,0.26,0.2,2,5,5,4,FALSE
4,0.65,0.36,4,7,2,3,FALSE
11,0.62,0.39,5,7,5,5,FALSE
9,0.38,0.31,7,5,2,3,FALSE
9,0.94,0.1,3,4,3,1,FALSE
0,0.94,0.94,1,7,4,2,FALSE
3,0.39,0.9,7,3,2,3,FALSE
6,0.26,0.97,5,2,4,2,FALSE
7,0.06,0.71,8,3,5,5,TRUE
15,0.32,0.37,7,3,4,2,FALSE
12,0.53,0.48,5,2,4,2,TRUE
4,0.17,0.73,6,2,2,4,TRUE
14,0.35,0.06,4,6,4,2,TRUE
17,0.19,0.59,2,3,5,1,FALSE
2,0.02,0.08,5,5,4,1,TRUE
15,0.93,0.63,8,1,4,3,FALSE
3,0.3,0.61,8,4,4,1,FALSE
8,0.76,0.46,6,1,4,5,FALSE
6,0.2,0.13,5,1,3,1,TRUE
13,0.84,0.67,7,6,2,1,FALSE
13,0.99,0.51,1,2,1,3,FALSE
18,0.77,0.69,7,7,1,1,TRUE
14,0.89,0.57,3,3,2,2,FALSE
3,0.29,0.14,1,6,5,4,FALSE
11,0.21,0.13,4,5,3,2,TRUE
1,0.06,0.48,8,4,2,4,FALSE
1,0.85,0.99,2,1,3,5,FALSE
1,0.92,0.08,1,3,3,2,FALSE
6,0.38,0.49,2,7,1,3,FALSE
11,0.08,0.16,5,6,2,5,TRUE
10,0.01,0.71,3,3,4,5,FALSE
4,0.14,0.01,7,2,3,5,TRUE
13,0.73,0.02,1,7,4,5,FALSE
1,0.35,0.24,7,1,1,2,TRUE
19,0.15,0.74,6,5,2,5,TRUE
17,0.83,0.27,5,7,1,2,TRUE
11,0.1,0.88,5,7,1,2,TRUE
11,0.46,0.74,5,1,1,5,TRUE
10,0.53,0.66,6,2,2,3,FALSE
2,0.02,0.6,7,4,2,5,FALSE
1,0.73,0.05,8,6,3,2,TRUE
8,0.71,0.21,5,4,4,3,TRUE
7,0.71,0.05,2,2,3,3,FALSE
9,0.83,0.24,1,3,4,2,FALSE
7,0.99,0.32,6,2,5,1,FALSE
8,0.16,0.05,2,3,1,4,FALSE
2,0.69,0.11,8,2,1,2,TRUE
13,0.2,0.09,3,6,2,4,FALSE
3,0.16,0.84,2,7,1,5,FALSE
12,0.7,0.38,3,5,1,3,FALSE
4,0.84,0.77,6,2,3,2,TRUE
6,0.55,0.32,2,3,4,4,FALSE
0,0.07,0.73,5,1,1,5,TRUE
13,0.87,0.88,3,2,1,4,FALSE
11,0.51,0.74,3,7,1,2,FALSE
9,0.8,0.93,3,3,4,5,FALSE
9,0.57,0.13,4,7,4,1,FALSE
10,0.01,0.08,4,1,2,1,TRUE
9,0.47,0.14,3,5,1,2,FALSE
5,0.87,0.38,8,3,1,1,FALSE
5,0.31,0.75,1,1,5,1,FALSE
13,0.03,0.41,5,4,1,4,FALSE
10,0.46,0.26,1,1,1,4,FALSE
6,0.47,0.6,4,5,2,5,FALSE
6,0.92,0.15,2,4,3,1,FALSE
19,0.62,0.96,8,4,1,5,FALSE
8,0.94,0.91,1,6,4,1,FALSE
16,0.52,0.44,4,3,3,1,FALSE
0,0.02,0.19,8,2,5,1,TRUE
6,0.44,0.12,1,4,4,5,FALSE
2,0.01,0.57,3,5,2,1,FALSE
5,0.65,0.22,4,7,3,3,TRUE
15,0.82,0.25,2,4,4,3,FALSE
8,0.95,0.71,6,5,5,5,FALSE
7,0.47,0.21,2,1,4,1,FALSE
1,0.29,0.64,5,5,1,1,FALSE
13,0.72,0.13,2,4,2,3,FALSE
6,0.19,0.69,2,3,1,3,FALSE
19,0.61,0.65,6,2,3,3,TRUE
4,0.49,0.09,3,4,2,4,FALSE
1,0.78,0.34,5,4,3,2,FALSE
14,0.94,0.44,1,5,2,2,FALSE
6,0.38,0.73,4,2,4,1,TRUE
8,0.61,0.69,8,7,2,1,FALSE
0,0.97,0.82,7,3,1,3,TRUE
6,0.76,0.81,6,6,5,1,FALSE
4,0.34,0.98,2,3,3,5,FALSE
3,0.29,0.59,6,4,5,1,TRUE
4,0.75,0.32,7,2,4,5,FALSE
4,0.98,0.92,5,4,3,1,FALSE
2,0.52,0.07,2,2,1,3,FALSE
8,0.34,0.38,7,7,4,2,FALSE
18,0.58,0.39,2,2,1,5,FALSE
4,0.57,0.34,5,4,1,4,FALSE
9,0.47,0.83,4,5,4,5,FALSE
1,0.2,0.03,4,2,1,3,TRUE
9,0.53,0.7,7,5,5,1,FALSE
3,0.16,1,2,5,4,4,FALSE
6,0.85,0.28,5,1,4,5,TRUE
7,0.27,0.13,7,7,1,4,TRUE
1,0.78,0.31,4,1,2,5,FALSE
17,0.48,0.59,7,3,4,2,TRUE
6,0.14,0.43,4,6,4,3,FALSE
13,0.82,0.21,1,4,1,2,FALSE
5,0.82,0.9,1,5,1,2,FALSE
6,0.56,0.22,7,3,2,1,TRUE
18,0.12,0.7,2,7,1,3,FALSE
2,0.41,0.5,5,1,5,4,TRUE
3,0.16,0.17,1,2,2,5,FALSE
7,0.56,0.16,7,6,5,1,TRUE
4,0.15,0.16,7,5,2,3,TRUE
2,0.19,0.01,1,6,1,1,FALSE
1,0.11,0.26,8,5,2,2,TRUE
2,0.92,0.91,8,2,4,1,TRUE
7,0.8,0.98,1,6,4,1,FALSE
2,0.39,0.29,1,6,2,4,FALSE
2,0.95,0.53,8,1,5,4,FALSE
2,0.78,0.93,1,6,3,2,FALSE
10,0.61,0.94,8,4,2,2,FALSE
5,0.56,0.65,8,4,2,2,FALSE
5,0.46,0.57,7,2,4,3,FALSE
2,0.88,0.77,8,1,4,5,FALSE
11,0.55,0.65,8,7,4,4,TRUE
6,0.01,0.53,2,1,4,1,FALSE
8,0.14,0.68,1,6,2,1,FALSE
7,0.52,0.13,4,7,2,1,TRUE
3,0.95,0.57,8,6,1,2,FALSE
1,0.41,0.98,5,6,2,4,FALSE
1,0.63,0.71,3,1,5,3,FALSE
7,0.67,0.98,3,4,4,5,FALSE
12,0.06,0.13,2,2,2,2,FALSE
11,0.49,0.4,6,7,4,5,FALSE
9,0.65,0.55,6,5,3,5,FALSE
0,0.24,0.36,8,7,4,2,TRUE
5,0.29,0.41,5,7,3,2,TRUE
4,0.45,0.67,3,7,5,3,FALSE
4,0.92,0.11,6,6,5,3,TRUE
5,0.19,0.7,6,3,3,2,TRUE
5,0.28,0.21,1,4,1,1,FALSE
6,0.15,0,1,2,3,2,FALSE
3,0.41,0.08,2,7,1,5,FALSE
15,0.06,0.57,8,7,5,3,FALSE
2,0.03,0.29,2,4,5,3,FALSE
5,0.83,0.93,3,3,4,5,FALSE
3,0.99,0.68,8,2,2,4,FALSE
17,0.96,0.66,8,3,4,2,FALSE
6,0.85,0.12,1,7,3,1,FALSE
1,0.91,0.66,5,3,5,4,FALSE
16,0.83,0.32,3,1,5,2,FALSE
8,0.59,0.6,6,6,1,1,FALSE
14,0.58,0.9,1,2,2,2,FALSE
3,0.31,0.42,1,5,2,2,FALSE
0,0.33,0.46,6,4,5,4,TRUE
3,0.68,0.2,7,3,5,1,TRUE
15,0.61,0.76,6,3,5,4,FALSE
15,0.93,0.46,5,2,2,5,FALSE
9,0.5,0.07,4,4,1,5,TRUE
4,0.23,0.35,4,4,5,1,TRUE
3,0.32,0.18,7,1,3,5,TRUE
3,0.25,0.79,1,4,1,2,FALSE
7,0.91,0.2,5,1,5,3,TRUE
12,0.61,0.12,1,6,1,4,FALSE
8,0.31,0.6,6,2,2,1,TRUE
3,0.79,0.03,6,7,1,2,FALSE
13,0.18,0.07,8,5,1,2,TRUE
1,0.53,0.07,7,7,2,5,FALSE
5,0.33,0.52,1,4,1,5,FALSE
1,0.93,0.71,6,6,2,1,FALSE
20,0.59,0.34,4,5,4,5,FALSE
3,0.1,0,4,4,1,5,TRUE
15,0.05,0.95,8,5,4,5,TRUE
13,0.56,0.33,1,1,2,2,FALSE
5,0.49,0.78,3,3,5,2,FALSE
5,0.15,0.28,1,7,3,3,FALSE
1,0.78,0.68,2,1,1,4,FALSE
11,0.69,0.67,6,7,3,3,FALSE
10,0.47,0.47,5,7,4,2,FALSE
12,0.98,0.22,8,4,3,1,TRUE
18,0.65,0.88,2,7,4,5,FALSE
1,0.86,0.48,6,7,5,3,FALSE
12,0.94,0.57,6,5,1,3,FALSE
3,0.54,0.79,7,5,3,2,TRUE
1,0.56,0.84,2,1,5,4,FALSE
3,0.69,0.73,8,1,4,5,FALSE
2,0.18,0.17,3,6,1,4,FALSE
1,0.04,0.84,4,2,2,3,TRUE
11,0.69,0.82,7,3,5,4,TRUE
3,0.86,0.9,4,7,4,3,TRUE
2,0.53,0.11,3,4,4,3,FALSE
2,0.55,0.26,2,7,4,2,FALSE
11,0.23,0.67,5,4,1,1,FALSE
2,0.89,0.92,2,1,4,2,FALSE
6,1,0.08,4,6,4,4,FALSE
5,0.29,0.13,7,6,2,5,TRUE
19,0.16,0.8,2,1,5,5,FALSE
